"Actions","折扣方式"
"Active","激活"
"Add New Rule","创建新规则"
"Apply Rules","应用规则"
"Attribute Set","属性分组"
"Catalog","目录"
"Catalog Price Rule","商品促销规则"
"Catalog Price Rules","商品促销规则"
"Category","目录分类"
"Comments History","备注记录"
"Conditions","生效条件"
"Conditions (leave blank for all products)","生效条件(留空则对全部商品生效))"
"Conditions Combination","条件组合"
"Credit Memos","退款记录"
"Customer Groups","顾客分组"
"Customer is new buyer: %s","新客户：%s"
"Customer registered: %s","注册日期：%s"
"Date Expire","有效期"
"Date From","开始日期"
"Date Start","开始日期"
"Date To","结束日期"
"Delete Rule","删除规则"
"Description","说明"
"Description: %s","说明： %s"
"Edit Rule","修改规则"
"Edit Rule '%s'","修改规则'%s'"
"Expire at: %s","有效期： %s"
"From Date","开始日期"
"General Information","基本信息"
"Gift Messages","礼物留言"
"ID","编号"
"Inactive","未激活"
"Invoices","发票"
"NOT LOGGED IN","尚未登录"
"Name: %s","名称：%s"
"New Rule","新规则"
"No","否"
"Options","选项"
"Order Credit Memos","订单退款记录"
"Order Gift Messages","订单礼物留言"
"Order History","订单记录"
"Order Invoices","订单发票"
"Order Shipments","订单配送"
"Priority","优先级(数字越小优先级越高)"
"Product Attribute","商品属性"
"Promotions","促销"
"Rule Information","规则信息"
"Rule Name","规则名称"
"Rule was successfully deleted","成功删除规则"
"Rule was successfully saved","成功保存规则"
"Rules were successfully applied","成功应用规则"
"Save Rule","保存规则"
"Save and Apply","保存并应用"
"Shipments","配送"
"Start at: %s","开始于： %s"
"Status","状态"
"Stop further rules processing","停止处理其它规则"
"The page you are trying to save no longer exists","要保存的页面不存在"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","尚有未执行的规则变更。请点击“应用规则”以查看目录价格变更效果"
"This rule no longer exists","该规则不存在"
"To Date","结束日期"
"Unable to apply rules","无法应用规则"
"Unable to find a page to delete","无法找到要删除的页面"
"Update product's %s %s: %s","更新商品的%s %s：%s"
"Websites","网站"
"Yes","是"
"Apply","优惠方式"
"Discount Amount","折扣额度"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","如果购物车有 %s %s %s 个商品满足下列条件的 %s:"
